ID,lat,lon,data_points
5,21.0213,105.8509,23
19,21.04975,105.74187,525
51,21.2003445,105.9485439,572
52,21.1232473,106.2883295,586
53,21.1527453,106.111371,442
54,21.031,106.5291,301
60,21.1873402,106.0742958,543
62,21.1518069,106.1518796,674
66,21.1638526,105.9235646,394
71,21.0272212,106.0342099,417
79,21.01525,105.80013,621
155,21.1137452,105.9268934,418
156,21.127574,105.9508299,402
157,21.1277395,105.8895444,621
158,21.1560765,106.2223111,382
159,21.0377269,106.1468067,589
160,21.0353984,106.1025755,241
161,21.1194449,105.9896021,182
162,21.089142,105.990311,571
163,21.0243474,106.0172877,522
169,21.0832037,106.2807861,439
172,20.927,106.314,297
173,20.9774,106.4308,297
175,21.1164,106.3856,142
195,21.33847,105.3673,586
300,21.023532,105.853941,721
